case_index	table_id	hypothesis	label
0-0	T12	Faroe Islands has less than two languages.	C
0-1	T12	Faroe Islands has less than three languages.	E
0-8	T12	Faroe Islands has no more than one language.	C
0-9	T12	Faroe Islands has no more than two languages.	E
0-10	T12	Faroe Islands has no more than three languages.	E
0-11	T12	Faroe Islands has exactly one language.	C
0-12	T12	Faroe Islands has exactly two languages.	E
0-13	T12	Faroe Islands has exactly three languages.	C
0-14	T12	Faroe Islands has one language.	E
0-15	T12	Faroe Islands has two languages.	E
0-16	T12	Faroe Islands has three languages.	C
0-17	T12	Faroe Islands has at least one language.	E
0-18	T12	Faroe Islands has at least two languages.	E
0-19	T12	Faroe Islands has at least three languages.	C
0-23	T12	Faroe Islands has no less than one language.	E
0-24	T12	Faroe Islands has no less than two languages.	E
0-25	T12	Faroe Islands has no less than three languages.	C
0-26	T12	Faroe Islands has more than one language.	E
0-27	T12	Faroe Islands has more than two languages.	C
0-28	T12	Faroe Islands has more than three languages.	C
1-0	T17	Bryce Dallas Howard has less than two children.	C
1-1	T17	Bryce Dallas Howard has less than three children.	E
1-8	T17	Bryce Dallas Howard has no more than one child.	C
1-9	T17	Bryce Dallas Howard has no more than two children.	E
1-10	T17	Bryce Dallas Howard has no more than three children.	E
1-11	T17	Bryce Dallas Howard has exactly one child.	C
1-12	T17	Bryce Dallas Howard has exactly two children.	E
1-13	T17	Bryce Dallas Howard has exactly three children.	C
1-14	T17	Bryce Dallas Howard has one child.	E
1-15	T17	Bryce Dallas Howard has two children.	E
1-16	T17	Bryce Dallas Howard has three children.	C
1-17	T17	Bryce Dallas Howard has at least one child.	E
1-18	T17	Bryce Dallas Howard has at least two children.	E
1-19	T17	Bryce Dallas Howard has at least three children.	C
1-23	T17	Bryce Dallas Howard has no less than one child.	E
1-24	T17	Bryce Dallas Howard has no less than two children.	E
1-25	T17	Bryce Dallas Howard has no less than three children.	C
1-26	T17	Bryce Dallas Howard has more than one child.	E
1-27	T17	Bryce Dallas Howard has more than two children.	C
1-28	T17	Bryce Dallas Howard has more than three children.	C
2-0	T68	Jet has made music for less than three companies.	C
2-1	T68	Jet has made music for less than four companies.	C
2-2	T68	Jet has made music for less than five companies.	E
2-9	T68	Jet has made music for no more than three companies.	C
2-10	T68	Jet has made music for no more than four companies.	E
2-11	T68	Jet has made music for no more than five companies.	E
2-12	T68	Jet has made music for exactly three companies.	C
2-13	T68	Jet has made music for exactly four companies.	E
2-14	T68	Jet has made music for exactly five companies.	C
2-15	T68	Jet has made music for three companies.	E
2-16	T68	Jet has made music for four companies.	E
2-17	T68	Jet has made music for five companies.	C
2-18	T68	Jet has made music for at least three companies.	E
2-19	T68	Jet has made music for at least four companies.	E
2-20	T68	Jet has made music for at least five companies.	C
2-24	T68	Jet has made music for no less than three companies.	E
2-25	T68	Jet has made music for no less than four companies.	E
2-26	T68	Jet has made music for no less than five companies.	C
2-27	T68	Jet has made music for more than three companies.	E
2-28	T68	Jet has made music for more than four companies.	C
2-29	T68	Jet has made music for more than five companies.	C
3-0	T74	Katharine McPhee has been with less than four labels.	C
3-1	T74	Katharine McPhee has been with less than five labels.	C
3-2	T74	Katharine McPhee has been with less than six labels.	E
3-9	T74	Katharine McPhee has been with no more than four labels.	C
3-10	T74	Katharine McPhee has been with no more than five labels.	E
3-11	T74	Katharine McPhee has been with no more than six labels.	E
3-12	T74	Katharine McPhee has been with exactly four labels.	C
3-13	T74	Katharine McPhee has been with exactly five labels.	E
3-14	T74	Katharine McPhee has been with exactly six labels.	C
3-15	T74	Katharine McPhee has been with four labels.	E
