word1	word2	score
diagnostic	test	0.376
diagnostic	jaundice	0.037
diagnostic	le	0.049
diagnostic	many	0.059
diagnostic	least	-0.035
diagnostic	exactly	-0.038
diagnostic	several	0.048
diagnostic	fewer	-0.004
diagnostic	symptom	0.275
diagnostic	hyperthyroidism	0.15
diagnostic	ha	0.023
diagnostic	known	0.008
diagnostic	form	-0.04
diagnostic	treatment	0.246
diagnostic	type	-0.035
diagnostic	quadriplegia	-0.12
diagnostic	fatty	-0.051
diagnostic	liver	0.106
diagnose	diagnostic	0.634
diagnose	method	0.048
diagnose	differential	0.172
diagnose	diagnosis	0.71
diagnose	symptom	0.376
method	test	0.008
method	several	-0.059
method	symptom	0.079
method	treatment	0.179
method	type	0.198
method	platform	0.071
method	quadriplegia	-0.049
jaundice	method	-0.009
jaundice	symptom	0.292
differential	test	0.048
differential	jaundice	0.017
differential	le	0.047
differential	many	-0.032
differential	least	-0.037
differential	exactly	0.084
differential	several	-0.053
differential	symptom	0.11
differential	fatty	0.027
differential	liver	-0.059
differential	ha	-0.137
differential	type	0.003
diagnosis	test	0.227
diagnosis	jaundice	0.08
diagnosis	le	0.075
diagnosis	many	0.017
diagnosis	least	0.004
diagnosis	exactly	-0.002
diagnosis	several	-0.021
diagnosis	symptom	0.368
diagnosis	fatty	0.062
diagnosis	liver	0.101
diagnosis	ha	0.013
diagnosis	type	0.001
symptom	test	0.169
symptom	symptom	1.0
symptom	trypanosomiasis	0.116
symptom	treatment	0.227
symptom	type	0.051
symptom	usual	0.077
le	method	-0.057
le	symptom	-0.013
le	spouse	0.053
le	relative	0.064
le	parent	-0.007
le	resting	0.017
le	place	0.017
le	treasurer	0.015
le	type	0.008
le	occupation	0.008
le	year	0.043
le	official	0.04
le	name	-0.06
le	mater	0.074
le	student	-0.011
le	partner	-0.032
le	terminus	0.101
le	operator	-0.043
le	polity	0.002
le	unification	0.002
le	letterer	0.02
le	postal	0.021
le	website	0.001
le	score	-0.024
le	used	0.065
le	range	-0.018
le	locale	0.095
le	rolling	-0.036
le	stock	-0.02
le	residence	0.033
le	production	-0.011
le	produced	0.007
le	province	0.048
le	memory	0.003
le	released	0.049
le	producer	-0.056
le	release	0.054
le	usual	0.039
le	onset	-0.025
le	summer	-0.013
le	time	-0.018
le	zone	0.002
le	served	-0.005
le	start	-0.003
le	system	-0.064
le	previous	0.063
le	owner	0.074
le	location	0.012
le	treatment	0.014
le	risk	-0.017
le	nearest	0.009
le	successor	-0.009
le	screenplay	-0.005
le	license	-0.024
le	platform	0.037
le	user	-0.048
le	variant	0.073
le	related	0.073
le	product	-0.066
le	origin	0.058
le	observed	0.004
le	recorded	-0.079
le	mother	0.036
le	music	-0.019
le	significance	0.03
le	speaker	-0.043
le	representative	-0.024
le	prime	0.056
le	minister	0.011
le	skill	-0.016
le	tested	0.03
le	purpose	-0.065
le	service	0.014
le	style	-0.022
le	president	0.083
le	national	0.142
le	secretary	0.017
le	party	0.039
le	written	0.015
le	nationality	-0.005
le	subject	0.018
le	street	-0.053
le	recognised	-0.034
le	regional	0.046
le	succeeded	0.052
le	preceded	-0.012
many	method	-0.017
many	symptom	-0.043
many	spouse	-0.001
many	relative	-0.052
many	parent	-0.059
many	year	0.06
many	type	-0.001
many	treasurer	-0.018
many	name	0.055
many	observed	-0.037
many	observance	-0.066
many	official	0.022
many	religion	-0.103
many	occupation	0.035
many	mater	0.019
many	student	0.027
many	terminus	-0.051
many	operator	-0.056
many	polity	-0.027
many	unification	0.081
many	written	0.015
many	postal	-0.009
many	website	0.007
many	score	0.043
many	used	0.059
many	range	0.186
many	producer	-0.019
many	prime	-0.016
many	minister	0.042
many	variant	0.08
many	related	0.069
many	product	0.007
many	rolling	-0.033
many	stock	0.08
many	production	0.014
many	produced	-0.054
many	residence	0.014
many	province	-0.026
many	released	-0.097
many	release	0.002
many	usual	0.012
many	onset	-0.048
many	prognosis	-0.032
many	time	0.091
many	zone	-0.066
many	served	-0.001
many	start	-0.188
many	via	-0.034
many	previous	0.113
many	owner	-0.053
many	treatment	0.034
many	subject	-0.057
many	nearest	-0.053
many	wessex	0.008
many	resettlement	0.138
many	ward	-0.083
many	screenplay	0.029
many	platform	-0.005
many	update	-0.094
many	origin	-0.075
many	recorded	-0.057
many	mother	0.054
many	music	-0.038
many	speaker	0.03
many	representative	0.022
many	skill	-0.058
many	tested	0.054
many	offered	0.084
many	territorial	-0.053
many	service	0.005
many	risk	0.007
many	nationality	-0.012
many	notable	0.208
many	work	0.136
many	role	0.105
many	street	-0.04
many	recognised	0.026
many	regional	0.043
many	president	0.032
many	succeeded	-0.005
many	office	0.018
least	method	0.128
least	spouse	-0.019
least	relative	0.083
least	parent	0.052
least	year	0.198
least	resting	0.005
least	place	0.027
least	type	0.023
least	treasurer	-0.041
least	official	0.109
least	prime	0.069
least	minister	0.002
least	occupation	0.037
least	mater	-0.006
least	student	0.012
least	symptom	0.051
least	terminus	0.074
least	locale	0.016
least	polity	0.029
least	unification	-0.007
least	written	-0.071
least	letterer	-0.07
least	postal	0.032
least	website	0.012
least	score	0.06
least	used	-0.03
least	range	0.068
least	rolling	-0.047
least	stock	-0.082
least	production	-0.077
least	produced	-0.104
least	residence	0.018
least	net	-0.138
